Station Name,Latitude,Longitude,Elevation (m)	
Abee AGDM,54.2773,-112.9654,664.00
Acadia Valley AGCM,51.0664,-110.3172,735.00
Agtech AGCM,49.6471,-112.7625,916.00
Akamina,49.0333,-114.0500,1676.00
Albert Hall AGCM,53.1134,-111.1812,658.00
Alliance AGCM,52.3154,-111.7787,737.00
Altawan Evaporation Station,49.2455,-110.0136,925.00
Andrew AGDM,53.9176,-112.2783,632.00
Ardenville AGCM,49.5276,-113.4341,1119.00
Athabasca AGCM,54.6348,-113.3821,635.00
Atlee AGCM,50.8102,-111.0056,795.00
Atmore AGDM,54.7802,-112.8248,583.00
Aurora,57.2377,-111.4075,0.00
Azure AEDM,50.5119,-114.0130,1143.00
Ballater AGCM,55.5769,-117.2356,560.00
Banff CS,51.1934,-115.5522,1370.00
Barnwell AGDM,49.8017,-112.3022,824.00
Barons AGCM,50.0260,-113.2246,967.00 
Barrhead CS,54.1000,-114.4500,648.00 
Basnet Auto,57.3500,-119.7600,714.00
Bassano AGCM,50.8926,-112.4652,807.00
Battle River Headwaters,52.9306,-114.1950,960.00
Beauvais Park,49.4166,-114.1000,1524.00
Beaverdam AGCM,54.1772,-110.3228,592.00
Beaverlodge RCS,55.1966,-119.3964,745.00
Beaver Mines,49.4679,-114.1750,1257.00
Beiseker AGCM,51.3788,-113.3572,896.00
Bellshill AGCM,52.5824,-111.4654,721.00
Berland Auto,54.0904,-117.4013,1230.00
Berland Hills Auto,54.1500,-117.8900,1170.00
Big Valley AGCM,51.9979,0-112.8026,870.00
Bistcho Lake Auto,59.9100,-118.9600,576.00
Black Diamond AEDM,50.7068,-114.1517,1156.00
Blackie AGCM,50.5458,-113.6403,1019.00
Blairmore Ranger Station Auto,49.6100,-114.4500,1311.00
Blood Tribe Ag. Project IMCIN,49.5592,-113.0638,998.99	
Bodo AGDM,52.1242,-110.1011,687.00
Bovine Creek AUTO,56.1100,-112.5500,518.00
Bow Island,49.7333,-111.4500,817.00
Bow Island North IMCIN,49.8682,-111.3663,792.02
Bow Summit (New),51.7000,-116.4667,2031.00
Bow Valley,51.0833,-115.0667,1298.00
Breton Plots,53.0893,-114.4428,853.00
Brocket AGDM,49.6107,-113.7591,1073.00
Brooks,50.5500,-111.8500,747.00
Brownvale AGCM,56.1177,-117.8866,748.00
Buffalo AGCM,50.7981,-110.6858,723.00
Bullhorn Coulee Reservoir Inlet,49.2952,-113.3586,1115.00
Bullhorn Headwaters,49.1525,-113.5506,1326.00
Bull Springs AGCM,50.3397,-110.4841,780.00
Burns Creek,50.6166,-114.8833,1899.00
Busby AGCM,53.9309,-113.9216,714.00
Cabin Lake AGCM,51.0237,-111.2216,722.00
Cadogan AGCM,52.3343,-110.5100,690.00    
Calgary Intl A,51.1139,-114.0203,1084.00
Calgary IntL CS,51.1098,-114.0500,1081.00
Campsie Auto,54.1322,-114.6777,647.00
Camrose,53.0333,-112.8167,739.00
Cappon AGCM,51.0670,-110.7969,748.00
Cardston,49.2006,-113.2858,1193.00
Carrot Creek AGCM,53.6231,-115.8938,860.00
Carway,49.0006,-113.3761,1354.00
Castle Auto,49.3900,-114.3400,1352.00
Cereal AGCM,51.2758,-110.8244,753.00
Champion AGDM,50.2953,-113.3467,995.00
Chapel Rock,49.7166,-114.2833,1510.00
